画像,10.jpg,20.jpg,30.jpg,40.jpg,50.jpg,60.jpg,70.jpg,80.jpg,90.jpg,100.jpg
全体,0.103868721999788,0.103907965999952,0.1024906560001,0.10427095399973,0.105862147999687,0.103708563000055,0.101839108000149,0.102927223000279,0.102155921999838,0.104001680999772
画像取得,0.099769891000051,0.098825165000108,0.098187323000275,0.099923106999995,0.101565507000032,0.09944968300033,0.097679374000109,0.098667701000068,0.097920514999714,0.099632174999897
リサイズ,0.000390188999972,0.002941497999927,0.002133788000265,0.00212824800019,0.002153283999633,0.002132374999746,0.00212319800039,0.002140461000181,0.002110935000019,0.002153545000056
RGB色空間からHSV色空間に変換,0.00010704999977,9.09099999262253E-05,8.95379998837598E-05,9.04389999050181E-05,8.89469997673587E-05,8.89159996404487E-05,8.97979998626397E-05,8.93070000529406E-05,8.89970001480833E-05,8.85949998519209E-05
マスク画像の生成,5.12059996253811E-05,3.34229998770752E-05,3.36530001732171E-05,3.37839996973344E-05,3.33430002683599E-05,3.3331999929942E-05,3.35929998982465E-05,3.37229998876865E-05,3.29520003106154E-05,3.38629997713724E-05
平滑化,0.00065873099993,0.000616682000327,0.00061737399983,0.000617834999957,0.000617264000084,0.000618235999809,0.000619036999979,0.000645276999876,0.00061780499982,0.000654854000004
膨張化,8.84050000422576E-05,4.36919999629026E-05,4.36110003647627E-05,4.40620001427305E-05,4.36320001426793E-05,4.25600001108251E-05,4.3452000227262E-05,4.34010003118601E-05,4.32410001849348E-05,4.55350000265753E-05
色領域抽出,4.38719998783199E-05,4.013500029032E-05,3.91730000046664E-05,3.93740001527476E-05,3.73389998458151E-05,3.7639999845851E-05,3.77410001419776E-05,3.85019998248026E-05,3.86520000574819E-05,4.03549997827213E-05
RGB色空間からHSV色空間に変換,7.63130001359968E-05,7.55109999772685E-05,7.55810001464852E-05,7.53010003791132E-05,7.53809999878286E-05,7.54010002310679E-05,7.53510003050906E-05,7.5882000146521E-05,7.54509997022978E-05,8.2124000073236E-05
マスク画像の生成,2.35950001297169E-05,2.34039998758817E-05,2.31540002459951E-05,2.30839996220311E-05,2.30829996326065E-05,2.28730000344513E-05,2.28730000344513E-05,2.33440000556584E-05,2.31530002565705E-05,2.48259998443245E-05
平滑化,0.000607605999903,0.000609098000041,0.000610542000231,0.000609910000094,0.000621240999862,0.00063561800016,0.000611463000041,0.000611512999967,0.000611032000052,0.000723501999801
膨張化,2.45259998337133E-05,2.46859999606386E-05,2.4456000119244E-05,2.43650001721107E-05,2.50570001298911E-05,2.5327000003017E-05,2.47160000981239E-05,2.40249996750208E-05,2.41150000874768E-05,3.09070001094369E-05
色領域抽出,2.36539999605156E-05,1.83740003194544E-05,1.72220002241374E-05,1.67120001606236E-05,1.68120000125782E-05,1.69820000337495E-05,1.67320004038629E-05,1.63409999913711E-05,1.69009999808623E-05,2.04480002139462E-05
色領域の輪郭を抽出,5.75670001126127E-05,4.1066999983741E-05,3.95439997191715E-05,3.78210002054402E-05,3.35929998982465E-05,3.50359996446059E-05,3.28119999721821E-05,3.27220000144734E-05,3.47350000993174E-05,3.38029999511491E-05
距離計算,0.001839579000261,0.000440171999799,0.000473084000078,0.000531673000296,0.000453546999779,0.000424692999786,0.000361325000085,0.000415145000261,0.000448990000223,0.000368818999959
,,,,,,,,,,
サイズ,112×200,,,,,,,,,
